,data_file,step_file,label,valid,start_data_row,end_data_row
0,training_data/user_41/train/37/data.csv,training_data/user_41/train/37/step.csv,41,True,0,2160
1,training_data/user_41/train/29/data.csv,training_data/user_41/train/29/step.csv,41,True,0,2160
2,training_data/user_41/train/29/data.csv,training_data/user_41/train/29/step.csv,41,True,2160,4320
3,training_data/user_41/train/29/data.csv,training_data/user_41/train/29/step.csv,41,True,4320,6480
4,training_data/user_41/train/29/data.csv,training_data/user_41/train/29/step.csv,41,True,6480,8640
5,training_data/user_41/train/29/data.csv,training_data/user_41/train/29/step.csv,41,True,8640,10800
6,training_data/user_41/train/29/data.csv,training_data/user_41/train/29/step.csv,41,True,10800,12960
7,training_data/user_41/train/11/data.csv,training_data/user_41/train/11/step.csv,41,True,0,2160
8,training_data/user_41/train/11/data.csv,training_data/user_41/train/11/step.csv,41,True,2160,4320
9,training_data/user_41/train/11/data.csv,training_data/user_41/train/11/step.csv,41,True,4320,6480
10,training_data/user_41/train/11/data.csv,training_data/user_41/train/11/step.csv,41,True,6480,8640
11,training_data/user_41/train/41/data.csv,training_data/user_41/train/41/step.csv,41,True,0,2160
12,training_data/user_41/train/20/data.csv,training_data/user_41/train/20/step.csv,41,True,0,2160
13,training_data/user_41/train/20/data.csv,training_data/user_41/train/20/step.csv,41,True,2160,4320
14,training_data/user_41/train/20/data.csv,training_data/user_41/train/20/step.csv,41,True,4320,6480
15,training_data/user_41/train/60/data.csv,training_data/user_41/train/60/step.csv,41,True,0,2160
16,training_data/user_41/train/60/data.csv,training_data/user_41/train/60/step.csv,41,True,2160,4320
17,training_data/user_41/train/60/data.csv,training_data/user_41/train/60/step.csv,41,True,4320,6480
18,training_data/user_41/train/60/data.csv,training_data/user_41/train/60/step.csv,41,True,6480,8640
19,training_data/user_41/train/60/data.csv,training_data/user_41/train/60/step.csv,41,True,8640,10800
20,training_data/user_41/train/61/data.csv,training_data/user_41/train/61/step.csv,41,True,0,2160
21,training_data/user_41/train/61/data.csv,training_data/user_41/train/61/step.csv,41,True,2160,4320
22,training_data/user_41/train/61/data.csv,training_data/user_41/train/61/step.csv,41,True,4320,6480
23,training_data/user_41/train/61/data.csv,training_data/user_41/train/61/step.csv,41,True,6480,8640
24,training_data/user_41/train/61/data.csv,training_data/user_41/train/61/step.csv,41,True,8640,10800
25,training_data/user_41/train/61/data.csv,training_data/user_41/train/61/step.csv,41,True,10800,12960
26,training_data/user_41/train/40/data.csv,training_data/user_41/train/40/step.csv,41,True,0,2160
27,training_data/user_41/train/40/data.csv,training_data/user_41/train/40/step.csv,41,True,2160,4320
28,training_data/user_41/train/40/data.csv,training_data/user_41/train/40/step.csv,41,True,4320,6480
29,training_data/user_41/train/40/data.csv,training_data/user_41/train/40/step.csv,41,True,6480,8640
30,training_data/user_41/train/40/data.csv,training_data/user_41/train/40/step.csv,41,True,8640,10800
31,training_data/user_41/train/30/data.csv,training_data/user_41/train/30/step.csv,41,True,0,2160
32,training_data/user_41/train/30/data.csv,training_data/user_41/train/30/step.csv,41,True,2160,4320
33,training_data/user_41/train/30/data.csv,training_data/user_41/train/30/step.csv,41,True,4320,6480
34,training_data/user_41/train/30/data.csv,training_data/user_41/train/30/step.csv,41,True,6480,8640
35,training_data/user_41/train/30/data.csv,training_data/user_41/train/30/step.csv,41,True,8640,10800
36,training_data/user_41/train/30/data.csv,training_data/user_41/train/30/step.csv,41,True,10800,12960
37,training_data/user_41/train/22/data.csv,training_data/user_41/train/22/step.csv,41,True,0,2160
38,training_data/user_41/train/22/data.csv,training_data/user_41/train/22/step.csv,41,True,2160,4320
39,training_data/user_41/train/22/data.csv,training_data/user_41/train/22/step.csv,41,True,4320,6480
40,training_data/user_41/train/22/data.csv,training_data/user_41/train/22/step.csv,41,True,6480,8640
41,training_data/user_41/train/22/data.csv,training_data/user_41/train/22/step.csv,41,False,8640,10800
42,training_data/user_41/train/22/data.csv,training_data/user_41/train/22/step.csv,41,False,10800,12960
43,training_data/user_41/train/21/data.csv,training_data/user_41/train/21/step.csv,41,True,0,2160
44,training_data/user_41/train/21/data.csv,training_data/user_41/train/21/step.csv,41,True,2160,4320
45,training_data/user_41/train/21/data.csv,training_data/user_41/train/21/step.csv,41,True,4320,6480
46,training_data/user_41/train/21/data.csv,training_data/user_41/train/21/step.csv,41,True,6480,8640
47,training_data/user_41/train/21/data.csv,training_data/user_41/train/21/step.csv,41,False,8640,10800
48,training_data/user_41/train/21/data.csv,training_data/user_41/train/21/step.csv,41,False,10800,12960
49,training_data/user_41/train/52/data.csv,training_data/user_41/train/52/step.csv,41,True,0,2160
50,training_data/user_41/train/52/data.csv,training_data/user_41/train/52/step.csv,41,True,2160,4320
51,training_data/user_41/train/52/data.csv,training_data/user_41/train/52/step.csv,41,True,4320,6480
52,training_data/user_41/train/52/data.csv,training_data/user_41/train/52/step.csv,41,True,6480,8640
53,training_data/user_41/train/52/data.csv,training_data/user_41/train/52/step.csv,41,True,8640,10800
54,training_data/user_41/train/52/data.csv,training_data/user_41/train/52/step.csv,41,True,10800,12960
55,training_data/user_41/train/03/data.csv,training_data/user_41/train/03/step.csv,41,True,0,2160
56,training_data/user_41/train/42/data.csv,training_data/user_41/train/42/step.csv,41,True,0,2160
57,training_data/user_41/train/42/data.csv,training_data/user_41/train/42/step.csv,41,True,2160,4320
58,training_data/user_41/train/42/data.csv,training_data/user_41/train/42/step.csv,41,True,4320,6480
59,training_data/user_41/train/45/data.csv,training_data/user_41/train/45/step.csv,41,True,0,2160
60,training_data/user_41/train/45/data.csv,training_data/user_41/train/45/step.csv,41,True,2160,4320
61,training_data/user_41/train/45/data.csv,training_data/user_41/train/45/step.csv,41,True,4320,6480
62,training_data/user_41/train/33/data.csv,training_data/user_41/train/33/step.csv,41,True,0,2160
63,training_data/user_41/train/33/data.csv,training_data/user_41/train/33/step.csv,41,True,2160,4320
64,training_data/user_41/train/33/data.csv,training_data/user_41/train/33/step.csv,41,True,4320,6480
65,training_data/user_41/train/33/data.csv,training_data/user_41/train/33/step.csv,41,True,6480,8640
66,training_data/user_41/train/33/data.csv,training_data/user_41/train/33/step.csv,41,True,8640,10800
67,training_data/user_41/train/33/data.csv,training_data/user_41/train/33/step.csv,41,True,10800,12960
68,training_data/user_41/train/59/data.csv,training_data/user_41/train/59/step.csv,41,True,0,2160
69,training_data/user_41/train/59/data.csv,training_data/user_41/train/59/step.csv,41,True,2160,4320
70,training_data/user_41/train/59/data.csv,training_data/user_41/train/59/step.csv,41,True,4320,6480
71,training_data/user_41/train/59/data.csv,training_data/user_41/train/59/step.csv,41,True,6480,8640
72,training_data/user_41/train/59/data.csv,training_data/user_41/train/59/step.csv,41,True,8640,10800
73,training_data/user_41/train/00/data.csv,training_data/user_41/train/00/step.csv,41,True,0,2160
74,training_data/user_41/train/00/data.csv,training_data/user_41/train/00/step.csv,41,True,2160,4320
75,training_data/user_41/train/25/data.csv,training_data/user_41/train/25/step.csv,41,True,0,2160
76,training_data/user_41/train/25/data.csv,training_data/user_41/train/25/step.csv,41,True,2160,4320
77,training_data/user_41/train/25/data.csv,training_data/user_41/train/25/step.csv,41,True,4320,6480
78,training_data/user_41/train/53/data.csv,training_data/user_41/train/53/step.csv,41,True,0,2160
79,training_data/user_41/train/53/data.csv,training_data/user_41/train/53/step.csv,41,True,2160,4320
80,training_data/user_41/train/53/data.csv,training_data/user_41/train/53/step.csv,41,True,4320,6480
81,training_data/user_41/train/53/data.csv,training_data/user_41/train/53/step.csv,41,True,6480,8640
82,training_data/user_41/train/54/data.csv,training_data/user_41/train/54/step.csv,41,True,0,2160
83,training_data/user_41/train/54/data.csv,training_data/user_41/train/54/step.csv,41,True,2160,4320
84,training_data/user_41/train/54/data.csv,training_data/user_41/train/54/step.csv,41,True,4320,6480
85,training_data/user_41/train/54/data.csv,training_data/user_41/train/54/step.csv,41,True,6480,8640
86,training_data/user_41/train/54/data.csv,training_data/user_41/train/54/step.csv,41,True,8640,10800
87,training_data/user_41/train/49/data.csv,training_data/user_41/train/49/step.csv,41,True,0,2160
88,training_data/user_41/train/49/data.csv,training_data/user_41/train/49/step.csv,41,True,2160,4320
89,training_data/user_41/train/49/data.csv,training_data/user_41/train/49/step.csv,41,True,4320,6480
90,training_data/user_41/train/27/data.csv,training_data/user_41/train/27/step.csv,41,True,0,2160
91,training_data/user_41/train/27/data.csv,training_data/user_41/train/27/step.csv,41,True,2160,4320
92,training_data/user_41/train/27/data.csv,training_data/user_41/train/27/step.csv,41,True,4320,6480
93,training_data/user_41/train/27/data.csv,training_data/user_41/train/27/step.csv,41,True,6480,8640
94,training_data/user_41/train/27/data.csv,training_data/user_41/train/27/step.csv,41,True,8640,10800
95,training_data/user_41/train/27/data.csv,training_data/user_41/train/27/step.csv,41,True,10800,12960
96,training_data/user_41/train/57/data.csv,training_data/user_41/train/57/step.csv,41,True,0,2160
97,training_data/user_41/train/57/data.csv,training_data/user_41/train/57/step.csv,41,True,2160,4320
98,training_data/user_41/train/57/data.csv,training_data/user_41/train/57/step.csv,41,True,4320,6480
99,training_data/user_41/train/13/data.csv,training_data/user_41/train/13/step.csv,41,True,0,2160
100,training_data/user_41/train/13/data.csv,training_data/user_41/train/13/step.csv,41,True,2160,4320
101,training_data/user_41/train/13/data.csv,training_data/user_41/train/13/step.csv,41,True,4320,6480
102,training_data/user_41/train/15/data.csv,training_data/user_41/train/15/step.csv,41,True,0,2160
103,training_data/user_41/train/01/data.csv,training_data/user_41/train/01/step.csv,41,True,0,2160
104,training_data/user_41/train/01/data.csv,training_data/user_41/train/01/step.csv,41,True,2160,4320
105,training_data/user_41/train/01/data.csv,training_data/user_41/train/01/step.csv,41,True,4320,6480
106,training_data/user_41/train/01/data.csv,training_data/user_41/train/01/step.csv,41,True,6480,8640
107,training_data/user_41/train/01/data.csv,training_data/user_41/train/01/step.csv,41,True,8640,10800
108,training_data/user_41/train/01/data.csv,training_data/user_41/train/01/step.csv,41,True,10800,12960
109,training_data/user_41/train/02/data.csv,training_data/user_41/train/02/step.csv,41,True,0,2160
110,training_data/user_41/train/02/data.csv,training_data/user_41/train/02/step.csv,41,True,2160,4320
111,training_data/user_41/train/16/data.csv,training_data/user_41/train/16/step.csv,41,True,0,2160
112,training_data/user_41/train/16/data.csv,training_data/user_41/train/16/step.csv,41,True,2160,4320
113,training_data/user_41/train/36/data.csv,training_data/user_41/train/36/step.csv,41,True,0,2160
114,training_data/user_41/train/36/data.csv,training_data/user_41/train/36/step.csv,41,True,2160,4320
115,training_data/user_41/train/36/data.csv,training_data/user_41/train/36/step.csv,41,True,4320,6480
116,training_data/user_41/train/36/data.csv,training_data/user_41/train/36/step.csv,41,True,6480,8640
117,training_data/user_41/train/36/data.csv,training_data/user_41/train/36/step.csv,41,True,8640,10800
118,training_data/user_41/train/18/data.csv,training_data/user_41/train/18/step.csv,41,True,0,2160
119,training_data/user_41/train/18/data.csv,training_data/user_41/train/18/step.csv,41,True,2160,4320
120,training_data/user_41/train/18/data.csv,training_data/user_41/train/18/step.csv,41,True,4320,6480
121,training_data/user_41/train/18/data.csv,training_data/user_41/train/18/step.csv,41,True,6480,8640
122,training_data/user_41/train/39/data.csv,training_data/user_41/train/39/step.csv,41,True,0,2160
123,training_data/user_41/train/39/data.csv,training_data/user_41/train/39/step.csv,41,True,2160,4320
124,training_data/user_41/train/39/data.csv,training_data/user_41/train/39/step.csv,41,True,4320,6480
125,training_data/user_41/train/39/data.csv,training_data/user_41/train/39/step.csv,41,True,6480,8640
126,training_data/user_41/train/39/data.csv,training_data/user_41/train/39/step.csv,41,True,8640,10800
127,training_data/user_41/train/55/data.csv,training_data/user_41/train/55/step.csv,41,True,0,2160
128,training_data/user_41/train/55/data.csv,training_data/user_41/train/55/step.csv,41,True,2160,4320
129,training_data/user_41/train/55/data.csv,training_data/user_41/train/55/step.csv,41,True,4320,6480
130,training_data/user_41/train/19/data.csv,training_data/user_41/train/19/step.csv,41,True,0,2160
131,training_data/user_41/train/19/data.csv,training_data/user_41/train/19/step.csv,41,True,2160,4320
132,training_data/user_41/train/19/data.csv,training_data/user_41/train/19/step.csv,41,True,4320,6480
133,training_data/user_41/train/06/data.csv,training_data/user_41/train/06/step.csv,41,True,0,2160
134,training_data/user_41/train/06/data.csv,training_data/user_41/train/06/step.csv,41,True,2160,4320
135,training_data/user_41/train/06/data.csv,training_data/user_41/train/06/step.csv,41,True,4320,6480
136,training_data/user_41/train/06/data.csv,training_data/user_41/train/06/step.csv,41,True,6480,8640
137,training_data/user_41/train/28/data.csv,training_data/user_41/train/28/step.csv,41,True,0,2160
138,training_data/user_41/train/28/data.csv,training_data/user_41/train/28/step.csv,41,True,2160,4320
139,training_data/user_41/train/28/data.csv,training_data/user_41/train/28/step.csv,41,True,4320,6480
140,training_data/user_41/train/28/data.csv,training_data/user_41/train/28/step.csv,41,True,6480,8640
141,training_data/user_41/train/28/data.csv,training_data/user_41/train/28/step.csv,41,True,8640,10800
142,training_data/user_41/train/47/data.csv,training_data/user_41/train/47/step.csv,41,True,0,2160
143,training_data/user_41/train/47/data.csv,training_data/user_41/train/47/step.csv,41,True,2160,4320
144,training_data/user_41/train/47/data.csv,training_data/user_41/train/47/step.csv,41,True,4320,6480
145,training_data/user_41/train/47/data.csv,training_data/user_41/train/47/step.csv,41,True,6480,8640
146,training_data/user_41/train/47/data.csv,training_data/user_41/train/47/step.csv,41,True,8640,10800
147,training_data/user_41/train/31/data.csv,training_data/user_41/train/31/step.csv,41,True,0,2160
148,training_data/user_41/train/31/data.csv,training_data/user_41/train/31/step.csv,41,True,2160,4320
149,training_data/user_41/train/10/data.csv,training_data/user_41/train/10/step.csv,41,True,0,2160
150,training_data/user_41/train/10/data.csv,training_data/user_41/train/10/step.csv,41,True,2160,4320
151,training_data/user_41/train/10/data.csv,training_data/user_41/train/10/step.csv,41,True,4320,6480
152,training_data/user_41/train/10/data.csv,training_data/user_41/train/10/step.csv,41,True,6480,8640
153,training_data/user_41/train/10/data.csv,training_data/user_41/train/10/step.csv,41,True,8640,10800
154,training_data/user_41/train/10/data.csv,training_data/user_41/train/10/step.csv,41,True,10800,12960
155,training_data/user_41/train/43/data.csv,training_data/user_41/train/43/step.csv,41,True,0,2160
156,training_data/user_41/train/43/data.csv,training_data/user_41/train/43/step.csv,41,True,2160,4320
157,training_data/user_41/train/43/data.csv,training_data/user_41/train/43/step.csv,41,True,4320,6480
158,training_data/user_41/train/43/data.csv,training_data/user_41/train/43/step.csv,41,True,6480,8640
159,training_data/user_41/train/43/data.csv,training_data/user_41/train/43/step.csv,41,True,8640,10800
160,training_data/user_41/train/43/data.csv,training_data/user_41/train/43/step.csv,41,True,10800,12960
161,training_data/user_41/train/43/data.csv,training_data/user_41/train/43/step.csv,41,True,12960,15120
162,training_data/user_41/train/48/data.csv,training_data/user_41/train/48/step.csv,41,True,0,2160
